,emotion,freq,highly related,all related info
101,bad,76,"['sad', 'upset', 'regret', 'angry']","[('sad', 3), ('upset', 2), ('regret', 1), ('angry', 1)]"
102,justified,75,"['happy', 'proud', 'repulsed']","[('happy', 2), ('proud', 2), ('repulsed', 1)]"
103,smart,73,"['accomplished', 'clever', 'knowledegble', 'competent']","[('accomplished', 3), ('clever', 2), ('knowledegble', 1), ('competent', 1)]"
104,frustration,73,"['anger', 'sadness', 'sad', 'surprise']","[('anger', 7), ('sadness', 3), ('sad', 2), ('surprise', 1)]"
105,rushed,71,"['hurried', 'eager', 'relieved', 'happy']","[('hurried', 1), ('eager', 1), ('relieved', 1), ('happy', 1)]"
106,amazed,71,"['happy', 'shocked', 'dazzled', 'excited']","[('happy', 3), ('shocked', 1), ('dazzled', 1), ('excited', 1)]"
107,defeated,71,"['upset', 'sad', 'hopeful', 'mad']","[('upset', 3), ('sad', 2), ('hopeful', 2), ('mad', 1)]"
108,uncomfortable,71,"['upset', 'nervous', 'scared', 'anxious']","[('upset', 3), ('nervous', 3), ('scared', 2), ('anxious', 1)]"
109,disgust,71,"['anger', 'fear', 'angry', 'Anxious']","[('anger', 5), ('fear', 3), ('angry', 3), ('Anxious', 1)]"
110,betrayed,67,"['angry', 'sad', 'upset', 'mad']","[('angry', 7), ('sad', 5), ('upset', 4), ('mad', 2)]"
111,overjoyed,65,"['excited', 'happy', 'relieved', 'proud']","[('excited', 7), ('happy', 3), ('relieved', 2), ('proud', 2)]"
112,competitive,65,"['anxious', 'lucky', 'excited', 'focused']","[('anxious', 2), ('lucky', 1), ('excited', 1), ('focused', 1)]"
113,pride,63,"['joy', 'satisfaction', 'happiness', 'accomplishment']","[('joy', 4), ('satisfaction', 3), ('happiness', 3), ('accomplishment', 2)]"
114,confuse,63,[],[]
115,aggravated,62,"['disgusted', 'annoyed', 'mad', 'shocked']","[('disgusted', 2), ('annoyed', 2), ('mad', 1), ('shocked', 1)]"
116,playful,62,"['happy', 'excited', 'energetic', 'free']","[('happy', 2), ('excited', 1), ('energetic', 1), ('free', 1)]"
117,conflicted,61,"['surprised', 'impressed', 'disgusted', 'informed']","[('surprised', 1), ('impressed', 1), ('disgusted', 1), ('informed', 1)]"
118,happiness,61,"['joy', 'excitement', 'anticipation', 'pride']","[('joy', 8), ('excitement', 5), ('anticipation', 5), ('pride', 3)]"
119,Disappointed,61,"['Annoyed', 'Frustrated', 'Anticipation', 'distress']","[('Annoyed', 2), ('Frustrated', 2), ('Anticipation', 1), ('distress', 1)]"
120,trust,60,"['happy', 'anger', 'Surprise', 'joy']","[('happy', 2), ('anger', 1), ('Surprise', 1), ('joy', 1)]"
121,love,59,"['happy', 'proud', 'desire', 'caution']","[('happy', 9), ('proud', 2), ('desire', 1), ('caution', 1)]"
122,generous,58,"['helpful', 'happy', 'used', 'good']","[('helpful', 5), ('happy', 4), ('used', 1), ('good', 1)]"
123,dissapointed,58,"['sad', 'angry', 'embarresed', 'annoyed']","[('sad', 5), ('angry', 4), ('embarresed', 1), ('annoyed', 1)]"
124,sympathetic,57,"['concerned', 'scared', 'surprised', 'supportive']","[('concerned', 2), ('scared', 1), ('surprised', 1), ('supportive', 1)]"
125,impressed,56,"['surprised', 'happy', 'excited', 'envious']","[('surprised', 3), ('happy', 2), ('excited', 1), ('envious', 1)]"
126,caring,56,"['concerned', 'helpful', 'happy', 'supportive']","[('concerned', 3), ('helpful', 2), ('happy', 2), ('supportive', 1)]"
127,creative,56,"['excited', 'happy', 'determined', 'fashionable']","[('excited', 3), ('happy', 2), ('determined', 1), ('fashionable', 1)]"
128,awe,54,[],[]
129,Angry,54,"['Frustrated', 'Sad', 'Upset', 'Mad']","[('Frustrated', 6), ('Sad', 6), ('Upset', 4), ('Mad', 2)]"
130,panicked,54,"['upset', 'flustered', 'scared', 'nervous']","[('upset', 2), ('flustered', 1), ('scared', 1), ('nervous', 1)]"
131,Frustrated,54,"['Angry', 'Sad', 'Disappointed', 'Defeated']","[('Angry', 6), ('Sad', 4), ('Disappointed', 2), ('Defeated', 1)]"
132,desperate,52,"['hopeful', 'needy', 'determined', 'sad']","[('hopeful', 4), ('needy', 2), ('determined', 2), ('sad', 2)]"
133,helpless,52,"['sad', 'heartbroken', 'scared', 'terrified']","[('sad', 5), ('heartbroken', 1), ('scared', 1), ('terrified', 1)]"
134,lazy,51,['entitled'],"[('entitled', 1)]"
135,Relieved,50,"['Happy', 'Tired', 'happy', 'Great']","[('Happy', 6), ('Tired', 2), ('happy', 2), ('Great', 2)]"
136,uncertain,50,"['anxious', 'excited', 'apprehensive', 'dissapointed']","[('anxious', 2), ('excited', 1), ('apprehensive', 1), ('dissapointed', 1)]"
137,clever,49,"['smart', 'confident', 'resourceful', 'industrious']","[('smart', 2), ('confident', 1), ('resourceful', 1), ('industrious', 1)]"
138,silly,49,"['frustrated', 'afraid', 'mischeifess', 'mad']","[('frustrated', 1), ('afraid', 1), ('mischeifess', 1), ('mad', 1)]"
139,great,49,"['happy', 'proud', 'nice']","[('happy', 2), ('proud', 1), ('nice', 1)]"
140,Upset,49,"['Angry', 'Disappointed', 'Worried', 'Scared']","[('Angry', 5), ('Disappointed', 2), ('Worried', 2), ('Scared', 2)]"
141,Proud,49,"['Happy', 'Satisfied', 'Ecstatic', 'Excited']","[('Happy', 6), ('Satisfied', 3), ('Ecstatic', 2), ('Excited', 2)]"
142,Nervous,48,"['Scared', 'Excited', 'Fearful', 'Worried']","[('Scared', 8), ('Excited', 5), ('Fearful', 4), ('Worried', 3)]"
143,Annoyed,48,"['Irritated', 'Disgusted', 'Disappointed', 'Vexed']","[('Irritated', 2), ('Disgusted', 2), ('Disappointed', 2), ('Vexed', 1)]"
144,rejected,46,"['sad', 'disappointed', 'outcast', 'unwanted']","[('sad', 5), ('disappointed', 2), ('outcast', 1), ('unwanted', 1)]"
145,foolish,46,"['embarrassed', 'relieved', 'sad', 'scared']","[('embarrassed', 2), ('relieved', 1), ('sad', 1), ('scared', 1)]"
146,entertained,46,"['happy', 'interested', 'intrigued', 'content']","[('happy', 6), ('interested', 1), ('intrigued', 1), ('content', 1)]"
147,safe,46,"['relieved', 'happy', 'secure', 'relief']","[('relieved', 3), ('happy', 2), ('secure', 2), ('relief', 1)]"
148,inspired,46,"['determined', 'creative', 'eager', 'hopeful']","[('determined', 2), ('creative', 1), ('eager', 1), ('hopeful', 1)]"
149,strong,44,"['prepared', 'proud', 'happy', 'optimistic']","[('prepared', 3), ('proud', 3), ('happy', 3), ('optimistic', 1)]"
150,focused,44,"['determined', 'motivated', 'confident', 'hopeful']","[('determined', 5), ('motivated', 3), ('confident', 2), ('hopeful', 1)]"
151,jealous,44,"['angry', 'annoyed', 'sad', 'betrayed']","[('angry', 3), ('annoyed', 2), ('sad', 1), ('betrayed', 1)]"
152,successful,44,"['happy', 'proud', 'confident', 'good about himself']","[('happy', 7), ('proud', 6), ('confident', 2), ('good about himself', 1)]"
153,peaceful,43,"['happy', 'calm', 'his desire fullfilled', 'responsibility']","[('happy', 5), ('calm', 1), ('his desire fullfilled', 1), ('responsibility', 1)]"
154,apprehensive,43,"['anxious', 'concerned', 'excited', 'scared']","[('anxious', 2), ('concerned', 2), ('excited', 2), ('scared', 2)]"
155,Anxious,43,"['Scared', 'Excited', 'Fearful', 'Nervous']","[('Scared', 4), ('Excited', 3), ('Fearful', 2), ('Nervous', 2)]"
156,optimistic,43,"['hopeful', 'strong', 'prepared', 'excited']","[('hopeful', 3), ('strong', 1), ('prepared', 1), ('excited', 1)]"
157,expectant,42,"['hopeful', 'Joy', 'hapoy', 'motivated']","[('hopeful', 3), ('Joy', 1), ('hapoy', 1), ('motivated', 1)]"
158,regret,41,"['bad', 'pain', 'scared', 'stupid']","[('bad', 1), ('pain', 1), ('scared', 1), ('stupid', 1)]"
159,resourceful,41,"['satisfied', 'determined', 'industrious', 'clever']","[('satisfied', 1), ('determined', 1), ('industrious', 1), ('clever', 1)]"
160,comfortable,41,"['happy', 'relaxed', 'cold', 'loved']","[('happy', 2), ('relaxed', 2), ('cold', 1), ('loved', 1)]"
161,fulfilled,41,"['happy', 'content', 'good', 'joyful']","[('happy', 7), ('content', 1), ('good', 1), ('joyful', 1)]"
162,enlightened,41,['excited'],"[('excited', 1)]"
163,discouraged,40,"['sad', 'frustrated', 'upset', 'embarrassed']","[('sad', 3), ('frustrated', 2), ('upset', 1), ('embarrassed', 1)]"
164,Hopeful,40,"['Excited', 'Happy', 'Anticipated', 'Supportive']","[('Excited', 4), ('Happy', 2), ('Anticipated', 2), ('Supportive', 1)]"
165,suspicious,40,"['angry', 'intrigued', 'suspecting', 'curious']","[('angry', 2), ('intrigued', 1), ('suspecting', 1), ('curious', 1)]"
166,lost,39,"['depressed', 'sad', 'alone', 'angry']","[('depressed', 3), ('sad', 2), ('alone', 1), ('angry', 1)]"
167,useful,39,"['helpful', 'accomplished', 'satisfied', 'happy']","[('helpful', 3), ('accomplished', 2), ('satisfied', 1), ('happy', 1)]"
168,appreciative,39,"['happy', 'relieved', 'thankful', 'satisfied']","[('happy', 3), ('relieved', 2), ('thankful', 1), ('satisfied', 1)]"
169,protective,39,"['sad', 'sympathetic', 'proactive', 'happy']","[('sad', 1), ('sympathetic', 1), ('proactive', 1), ('happy', 1)]"
170,distressed,39,"['sad', 'upset', 'horrified', 'annoyed']","[('sad', 2), ('upset', 2), ('horrified', 1), ('annoyed', 1)]"
171,startled,39,"['surprised', 'scared', 'hurt', 'worried']","[('surprised', 2), ('scared', 2), ('hurt', 1), ('worried', 1)]"
172,appreciated,39,"['happy', 'proud', 'connected', 'cared for']","[('happy', 4), ('proud', 2), ('connected', 1), ('cared for', 1)]"
173,Worried,39,"['Nervous', 'Upset', 'Stressed', 'Concerned']","[('Nervous', 3), ('Upset', 2), ('Stressed', 2), ('Concerned', 2)]"
174,kind,38,"['helpful', 'nice', 'good about themselves', 'outgoing']","[('helpful', 1), ('nice', 1), ('good about themselves', 1), ('outgoing', 1)]"
175,enjoyment,38,"['accomplished', 'happy', 'love']","[('accomplished', 1), ('happy', 1), ('love', 1)]"
176,free,37,"['accomplished', 'playful', 'adventurous', 'happy']","[('accomplished', 1), ('playful', 1), ('adventurous', 1), ('happy', 1)]"
177,alarmed,37,"['stressed', 'angry', 'surprised', 'frightful']","[('stressed', 1), ('angry', 1), ('surprised', 1), ('frightful', 1)]"
178,Surprised,37,"['Confused', 'Happy', 'competent', 'Loved']","[('Confused', 2), ('Happy', 2), ('competent', 1), ('Loved', 1)]"
179,ambitious,36,[],[]
180,apologetic,36,['guilty'],"[('guilty', 1)]"
181,enthusiastic,36,"['optimistic', 'anxious', 'exited', 'hopeful']","[('optimistic', 1), ('anxious', 1), ('exited', 1), ('hopeful', 1)]"
182,very happy,35,"['proud', 'satisfied', 'Very relived', 'VEry loose']","[('proud', 1), ('satisfied', 1), ('Very relived', 1), ('VEry loose', 1)]"
183,healthy,35,"['clean', 'sleepy', 'motivated', 'hopeful']","[('clean', 1), ('sleepy', 1), ('motivated', 1), ('hopeful', 1)]"
184,sneaky,34,"['helpful', 'loyal', 'creepy', 'proud']","[('helpful', 1), ('loyal', 1), ('creepy', 1), ('proud', 1)]"
185,adventerous,34,[],[]
186,uneasy,33,"['excited', 'worried', 'scared', 'regretful']","[('excited', 2), ('worried', 2), ('scared', 2), ('regretful', 1)]"
187,ready,33,"['happy', 'eager', 'anxious', 'educated']","[('happy', 4), ('eager', 2), ('anxious', 2), ('educated', 1)]"
188,flattered,33,"['excited', 'happy', 'proud', 'closeness']","[('excited', 3), ('happy', 2), ('proud', 1), ('closeness', 1)]"
189,rebellious,33,"['disgusted', 'frustrated', 'embarressed', 'anxious']","[('disgusted', 1), ('frustrated', 1), ('embarressed', 1), ('anxious', 1)]"
190,Content,32,"['Happy', 'Excited', 'Happy to celebrate', 'Loved']","[('Happy', 9), ('Excited', 3), ('Happy to celebrate', 1), ('Loved', 1)]"
191,energetic,30,"['happy', 'excited', 'playful', 'disappointed']","[('happy', 5), ('excited', 3), ('playful', 1), ('disappointed', 1)]"
192,sleepy,30,"['clean', 'healthy', 'drowsy', 'happy']","[('clean', 1), ('healthy', 1), ('drowsy', 1), ('happy', 1)]"
193,mean,30,"['hateful', 'cocky', 'powerful', 'agressive']","[('hateful', 1), ('cocky', 1), ('powerful', 1), ('agressive', 1)]"
194,embarressed,30,"['sad', 'upset', 'disappointed', 'sick']","[('sad', 3), ('upset', 2), ('disappointed', 2), ('sick', 1)]"
195,secure,30,"['relieved', 'safe', 'happy', 'confident']","[('relieved', 3), ('safe', 2), ('happy', 1), ('confident', 1)]"
196,forgetful,30,"['Thoughtless', 'angry', 'foolish', 'wasteful']","[('Thoughtless', 1), ('angry', 1), ('foolish', 1), ('wasteful', 1)]"
197,vindicated,30,"['happy', 'accepted', 'accomplished']","[('happy', 1), ('accepted', 1), ('accomplished', 1)]"
198,horrified,30,"['ashamed', 'sad', 'upset', 'self-conscious']","[('ashamed', 2), ('sad', 2), ('upset', 1), ('self-conscious', 1)]"
199,mischievous,29,[],[]
200,distracted,29,['careless'],"[('careless', 1)]"
201,connected,29,"['happy', 'appreciated', 'sociable', 'loved']","[('happy', 3), ('appreciated', 1), ('sociable', 1), ('loved', 1)]"
202,shy,29,"['embarrassed', 'sad', 'scared', 'ashamed']","[('embarrassed', 1), ('sad', 1), ('scared', 1), ('ashamed', 1)]"
203,included,29,"['', 'rebellious', 'anxious', 'involved']","[('', 1), ('rebellious', 1), ('anxious', 1), ('involved', 1)]"
204,normal,29,"['content', 'tired', 'excited', 'awkward']","[('content', 3), ('tired', 2), ('excited', 1), ('awkward', 1)]"
205,distraught,29,"['upset', 'angry', 'concerned', 'disappointed']","[('upset', 2), ('angry', 1), ('concerned', 1), ('disappointed', 1)]"
206,energized,28,"['ecstatic', 'joyful', 'happy', 'free']","[('ecstatic', 2), ('joyful', 1), ('happy', 1), ('free', 1)]"
