,sentence,food,family,romance,indep,competition,approval,health,contact,serenity,rest,order,status,idealism,power,curiosity,honor,belonging,savings,tranquility
17,One day he meets a nice girl at the grocery store.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,They begin to date.,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,They begin to date.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,They begin to date.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,They begin to date.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,They begin to date.,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,They begin to date.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Jervis is happy that he is no longer single.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Jervis is happy that he is no longer single.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Ray couldn't get an irritating tune out of his head.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Ray couldn't get an irritating tune out of his head.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,Ray couldn't get an irritating tune out of his head.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"He tried to distract himself, but the melody kept repeating itself.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,"He tried to distract himself, but the melody kept repeating itself.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,"That night, he turned the radio on and got into bed to go to sleep.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,"That night, he turned the radio on and got into bed to go to sleep.",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
33,"That night, he turned the radio on and got into bed to go to sleep.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,The radio played song after song all night long as Ray slumbered.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,The radio played song after song all night long as Ray slumbered.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
36,The radio played song after song all night long as Ray slumbered.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,"In the morning, Ray was relieved to have forgotten the annoying tune.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,"In the morning, Ray was relieved to have forgotten the annoying tune.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,People would line up and wait hours for his creations.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40,People would line up and wait hours for his creations.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41,People would line up and wait hours for his creations.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,People would line up and wait hours for his creations.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,People would line up and wait hours for his creations.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,People would line up and wait hours for his creations.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,Everyone wanted the Ferdinand touch.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
46,Everyone wanted the Ferdinand touch.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,Everyone wanted the Ferdinand touch.,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0
48,Everyone wanted the Ferdinand touch.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Everyone wanted the Ferdinand touch.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Everyone wanted the Ferdinand touch.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,Everyone wanted the Ferdinand touch.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"He was proud, but hard working always pushing himself.",0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
53,"He was proud, but hard working always pushing himself.",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
54,"He was proud, but hard working always pushing himself.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55,She was trying to come up with extra money.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,She was trying to come up with extra money.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
57,Someone suggested a garage sale.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,Someone suggested a garage sale.,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
59,Someone suggested a garage sale.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,She decided that was a great idea.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
61,She decided that was a great idea.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,She decided that was a great idea.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63,She made lots of money!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64,She made lots of money!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
65,Manuel was having a difficult time paying his rent.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
66,Manuel was having a difficult time paying his rent.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
67,Manuel was having a difficult time paying his rent.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,He knew that he would be evicted if he didn't figure something out.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
69,He knew that he would be evicted if he didn't figure something out.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70,He then remembered that his friend was looking for a house.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,He then remembered that his friend was looking for a house.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
72,He then remembered that his friend was looking for a house.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,He then remembered that his friend was looking for a house.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
74,He then remembered that his friend was looking for a house.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,He then remembered that his friend was looking for a house.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
76,Manuel asked him to move in and be his roommate.,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
77,Manuel asked him to move in and be his roommate.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Manuel asked him to move in and be his roommate.,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
79,His friend agreed and Manuel kept his house.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,His friend agreed and Manuel kept his house.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
81,His friend agreed and Manuel kept his house.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,His friend agreed and Manuel kept his house.,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
83,His friend agreed and Manuel kept his house.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,His friend agreed and Manuel kept his house.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,Kija has been researching methods of healthy eating.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Kija has been researching methods of healthy eating.,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
87,She finally settles on a meal replacement drink to start.,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
88,She finally settles on a meal replacement drink to start.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
89,She finally settles on a meal replacement drink to start.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90,She orders a crate of soylent and is excited when it arrives.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
91,She orders a crate of soylent and is excited when it arrives.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92,She orders a crate of soylent and is excited when it arrives.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93,"Unfortunately, one swig of the drink makes her mouth itch and swell.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
94,"Unfortunately, one swig of the drink makes her mouth itch and swell.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,"Unfortunately, one swig of the drink makes her mouth itch and swell.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,"Kija didn't know, but she's allergic to soy.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,"Kija didn't know, but she's allergic to soy.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,"Kija didn't know, but she's allergic to soy.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Billy noticed he had trouble reading the chalkboard in class.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100,Billy noticed he had trouble reading the chalkboard in class.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,He moved towards the front and he could read it perfectly.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,He moved towards the front and he could read it perfectly.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103,He moved towards the front and he could read it perfectly.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
104,He then visited an eye doctor to ask about this.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,He then visited an eye doctor to ask about this.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
106,He then visited an eye doctor to ask about this.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
107,The doctor diagnosed him with myopia or nearsightedness.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
108,The doctor diagnosed him with myopia or nearsightedness.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
109,The doctor diagnosed him with myopia or nearsightedness.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
110,The doctor diagnosed him with myopia or nearsightedness.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
111,John bought glasses and could see perfectly from then on.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,John bought glasses and could see perfectly from then on.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
113,Tom lived at a fraternity house.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Tom lived at a fraternity house.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Tom lived at a fraternity house.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116,Tom would gather them up and take them to recycle.,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
117,Tom would gather them up and take them to recycle.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
118,He made a good amount of extra money that way.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
119,He made a good amount of extra money that way.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
120,Yoshio was 31 years old and played modern video games.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Yoshio was 31 years old and played modern video games.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,One day he had a hankering to play the old classic Nintendo.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,One day he had a hankering to play the old classic Nintendo.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
124,"He figured it was so old, it'd be sold online for very little money.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,"He figured it was so old, it'd be sold online for very little money.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,"He figured it was so old, it'd be sold online for very little money.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
127,But Yoshio was very wrong-the console was insanely expensive!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
128,But Yoshio was very wrong-the console was insanely expensive!,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,But Yoshio was very wrong-the console was insanely expensive!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Gina returned to her desk from the bathroom.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Gina returned to her desk from the bathroom.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
132,Gina returned to her desk from the bathroom.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
133,"She saw her friends Mary, and Rita talking to each other.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
134,"She saw her friends Mary, and Rita talking to each other.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,"She saw her friends Mary, and Rita talking to each other.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,"She saw her friends Mary, and Rita talking to each other.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
137,They stopped and looked at Gina.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,They stopped and looked at Gina.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,They stopped and looked at Gina.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140,They stopped and looked at Gina.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,They stopped and looked at Gina.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Gina knew they had been talking about her.,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0
143,Gina knew they had been talking about her.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Gina knew they had been talking about her.,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
145,And she knew Rita had told Mary what she promised to keep secret.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,And she knew Rita had told Mary what she promised to keep secret.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,And she knew Rita had told Mary what she promised to keep secret.,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
148,And she knew Rita had told Mary what she promised to keep secret.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
149,And she knew Rita had told Mary what she promised to keep secret.,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
150,I lived in Texas.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,I lived in Texas.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,I lived in Texas.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,My parents got new jobs.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
154,My parents got new jobs.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
155,My parents got new jobs.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
156,A monkey watched a crowd of children walk past his cage.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,A monkey watched a crowd of children walk past his cage.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,A monkey watched a crowd of children walk past his cage.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
159,A monkey watched a crowd of children walk past his cage.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
160,A monkey watched a crowd of children walk past his cage.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,He jumped around for the kids to entice them.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,He jumped around for the kids to entice them.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
163,One child saw this action and was drawn into the monkey.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
164,One child saw this action and was drawn into the monkey.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,One child saw this action and was drawn into the monkey.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
166,One child saw this action and was drawn into the monkey.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
167,One child saw this action and was drawn into the monkey.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
168,The kid felt like he should reward the monkey for the entertainment.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
169,The kid felt like he should reward the monkey for the entertainment.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
170,The kid felt like he should reward the monkey for the entertainment.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
171,The kid felt like he should reward the monkey for the entertainment.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
172,The kid threw some of his food over the fence to feed the monkey.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,The kid threw some of his food over the fence to feed the monkey.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,The kid threw some of his food over the fence to feed the monkey.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
175,The kid threw some of his food over the fence to feed the monkey.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
176,The kid threw some of his food over the fence to feed the monkey.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
177,Vincent had two dogs that always fought.,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
178,Vincent had two dogs that always fought.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,Vincent had two dogs that always fought.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,He called the Dog Whisperer Cesar Millan to sort out their problems.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
181,He called the Dog Whisperer Cesar Millan to sort out their problems.,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
182,He called the Dog Whisperer Cesar Millan to sort out their problems.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
183,Caesar said Vincent was the problem.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
184,Caesar said Vincent was the problem.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
185,Caesar said Vincent was the problem.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
186,He had Vincent assert his dominance.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
187,He had Vincent assert his dominance.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
188,He had Vincent assert his dominance.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,He had Vincent assert his dominance.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
190,He had Vincent assert his dominance.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
191,He had Vincent assert his dominance.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Vincent asserted his dominance right into Caesar's butt.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Vincent asserted his dominance right into Caesar's butt.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Vincent asserted his dominance right into Caesar's butt.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
195,Vincent asserted his dominance right into Caesar's butt.,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
196,Vincent asserted his dominance right into Caesar's butt.,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
197,A boy pick up a rock at the beach.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,A boy pick up a rock at the beach.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
199,A boy pick up a rock at the beach.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,He felt the texture and inspected it for smoothness.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
201,He felt the texture and inspected it for smoothness.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,He approved of the rock for a skipping stone.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
203,He approved of the rock for a skipping stone.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
204,The boy brought his arm back and waited for calm water.,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
205,The boy brought his arm back and waited for calm water.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,During a lull he threw the stone and it skipped 11 times on the water.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
207,During a lull he threw the stone and it skipped 11 times on the water.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,During a lull he threw the stone and it skipped 11 times on the water.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
209,The girl giggled as it popped open against the fridge.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,The girl giggled as it popped open against the fridge.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,She touched the magnet gently against the metal.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,She touched the magnet gently against the metal.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
213,"She did it over and over again, laughing.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,"She did it over and over again, laughing.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
215,My foot has been itching badly since I got that mosquito bite.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
216,My foot has been itching badly since I got that mosquito bite.,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
217,My foot has been itching badly since I got that mosquito bite.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,I have been scratching the bite all day long since I got it.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
219,I have been scratching the bite all day long since I got it.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
220,I have been scratching the bite all day long since I got it.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,The mosquito bit me on the bottom of my foot.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,The mosquito bit me on the bottom of my foot.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,The mosquito bit me on the bottom of my foot.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,The ointment I put on it didn't really help much.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,The ointment I put on it didn't really help much.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
226,"Tomorrow, I'll try putting a hot towel on it to decrease the swelling.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
227,"Tomorrow, I'll try putting a hot towel on it to decrease the swelling.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,"Tomorrow, I'll try putting a hot towel on it to decrease the swelling.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
229,Margaret couldn't afford her regular eye makeup anymore.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
230,Margaret couldn't afford her regular eye makeup anymore.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,Margaret couldn't afford her regular eye makeup anymore.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
232,So she went to the store for free samples.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
233,So she went to the store for free samples.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
234,So she went to the store for free samples.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
235,She used the samples until they ran out.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
236,She used the samples until they ran out.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,Turns out she liked one of them.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
238,Turns out she liked one of them.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
