,Unnamed: 0,story_id,first_sentence,second_sentence,third_sentence,fourth_sentence,fifth_sentence,label
32,32,4624ac21-eb88-4b07-a052-cc6d3466736c , Miranda is married to Bob. , Bob doesn't like that Miranda works so much. , Miranda tells Bob that she enjoys her career and won't quit. , Bob gives Miranda an ultimatum. , Miranda quits her job. ,2
33,33,0819f0b4-3760-453b-b6d2-d61e7b36decd , My cousin's had a terrible experience with their babysitter. , They had a hidden camera. , They found video of her shaking the baby violently. , The baby is having major problems. , They reported the babysitter to the police. ,1
34,34,57f0ad88-0dad-4cce-95da-30175ff0ba40 , Bobby was having a birthday party. , His friends bought him a huge cake. , A woman jumped out of the cake. , Bobby was surprised and amused. , Bobby had a good party. ,3
35,35,3f191c72-305c-487d-8da0-7335fedc270f , Mother asked the children to help fold laundry. , The children took the clean clothes into the living room. , They dumped the clothes on the floor. , They folded the clothes neatly into piles. , They then put their clothes up neatly. ,2
36,36,c94d227a-4fde-4a0f-acc7-359406c16a52 , Craig used to always go play darts. , He would go to a local bar and try to hustle. , He would play bad at first. , Then he would get them to make a bet for a drink or money. , Craig did it one too many times and the patrons beat him up. ,1
37,37,9bc05c17-a739-462c-970c-f5279779f3a5 , Tim was entering a baking contest. , He decided to make his famous donuts. , He made a big batch and entered them into the contest. , The judges thought they were delicious. , Tim won the baking contest. ,2
38,38,9409bd0a-fbdd-4450-8b41-5aac05fd5c36 , Jill saw an infomercial for unbreakable glass cups. , She was amazed and ordered them. ," When Jill received the cups, she wanted to test them. ", She dropped one on her hardwood floor. , It broke and Jill felt dumb for believing the hype. ,2
39,39,00d73c9e-6441-4b23-ad78-f33490a6a1ec , Addie was working at the mall at Hollister when a strange man came in. ," Before she knew it, Addie looked behind her and saw stolen clothes. ", Addie got scared and tried to chase the man out. , Luckily guards came and arrested him. , Addie was relieved and took deep breaths to calm herself. ,1
40,40,749b0981-388d-4deb-83d4-b4bc35b4a168 , John went skydiving for the first time. , He went with an instructor on a plane into the air. , He screamed when they jumped. , John was terribly afraid of heights and passed out. ," When he woke up, he had already landed. ",2
41,41,71db6e1d-bcb4-4849-bded-f252a32c927c , Kaya needed to buy a new dress for the upcoming Spring Formal. , She went to the mall with several of her friends. , The girls all had a good time visiting shops and trying on dresses. , Kaya found a dress that she loved that was a nice coral color. , It was kind of expensive but she decided it was worth it. ,2
42,42,bcde1c24-5e48-4ba9-a8b5-362db0db0129 , Ryan loved to customize his bike. , He decided to add some LED lights to the bike frame and wheels. , He ordered the parts from eBay. ," When they arrived, he assembled them. ", Ryan loved how his bike looked. ,1
43,43,107793ec-8721-4897-b0de-17db3578fc10 , One day I wanted to cook a nice dinner for my family. , I decided to cook spaghetti. , I boiled the noodles and put the sauce in a pot on the stove. , I turned the stove on too high. , The sauce burned and stuck to the bottom of the pan. ,3
44,44,0f36f4a6-da40-4c61-a4cc-db237df8f1b6 , Nick was challenged to a volleyball match. , His girlfriend bet him five dollars she could beat him. , Nick did not intend to let her win! , He played hard and mercilessly. , Nick beat his girlfriend and she gave him the five dollars. ,0
45,45,45896107-bb21-48b8-845d-619d8c19bc34 , Neil was visiting Ireland. , His train had just arrived in Derry. ," As he disembarked, he caught his breath. ", It was as gorgeous as a fairy tale! , Neil enjoyed Ireland. ,2
46,46,49c51e74-be6e-45b9-a223-4c0835ad76c1 , Scott knew someone was stealing packages from his porch. , He set up a surveillance camera near his door. , He felt that he would at least have a video of the thief. ," One day, Scott saw footage of the perpetrator. ", Scott apprehended the perpetrator. ,3
47,47,2742baab-3956-415e-a1f2-024adc90cae6 , Last Tuesday I took my first spin class at the gym. , It was the hardest exercise class I ever took. , I worked through it for an hour and my legs went numb. , When I got home my legs started to hurt and I couldn't walk. , I went to bed and then rested until morning. ,1
48,48,f8594fc8-df33-49d7-a5a9-045765ca8eda , Colin was invited to the bar by his friends. , He loves beer but thinks it's too expensive at the bars. , He decided to go anyway. , He gave himself a budget. , Colin stuck to his budget and only drank 2 beers. ,2
49,49,ab1265ac-d06e-4bad-ba0e-0219d63d3357 , Jordan was planning on moving to Mexico. , Jordan decided that he should learn Spanish. , He ended up purchasing a language learning program from Amazon. , Everyday he worked on the program for at least 2 hours. , Jordan knew some conversational Spanish by the time he moved. ,1
50,50,40113e9b-360c-4d2d-8969-10cab5ce76f4 , Ann and Tim loved astrology. ," In fact, the met while they were both in astronomy class in college! "," When they married and became pregnant, they had a dilemma. ", They couldn't decide on a meaningful name for their baby daughter. ," After a lot of searching, Tim and Anna found the perfect name. ",2
51,51,c71454d3-16c6-4852-bb0e-1149fd2b0e52 , Fred is brand new to exercising and just joined a gym. , He was amazing at how expensive a personal trainer was. , He wanted to get into shape but couldn't afford the rates. , He found personal trainer routines online for free. , He was happy with his decision. ,2
52,52,d3615153-cfb9-4583-bd93-e1814c250a1c , It was the second match of the volleyball season. , Amy was hopeful she would get a chance to play. , After the first game they were ahead. , Her coach put her in the game. , She finally got her chance to play in the match. ,2
53,53,1be803ad-225f-4b93-a5ce-3d96deedc495 , Ellen had had four miscarriages in a row. , Her husband Tim despaired of ever becoming a dad. , Then the doctor called him at work. , He told him that there was great news about Ellen. , The doctor told Tim that Ellen was finally pregnant. ,2
54,54,e5ce589a-86a4-4f4e-9a51-87220abdf821 , Neil wanted to play hockey. , He borrowed some gear from his friends. , Then he geared up and headed to the rink. , He practiced for days. , Neil played in the competition. ,2
55,55,4803b3ac-1aa0-483b-a79c-2918ff401adf , I kept my baby blanket in good shape. , I had it for 30 Years. , I moved away from my home. , My baby blanket disappeared. , I still miss my baby blanket. ,2
56,56,c473c07a-630f-48e2-b6dd-ebb34d815fc2 , Rosie's teacher's birthday was coming up in 5 days. , Rosie did not have money to buy a present. , She asked her grandmother to teach her how to draw sunflowers. , Rosie drew a big sunflower and painted it with watercolor. , Rosie's teacher loved the gift. ,1
57,57,a28a894f-ea54-438a-93c5-cae7e4564ec4 , Harry went to the theme park with his family. , His dad and brother rode on a big roller coaster with him. , He then rode on some smaller rides with his mom. , The family ate at a restaurant at the park. , Harry had a great time at the park. ,0
58,58,932e37d4-1305-4e54-8fee-ba649e7c7206 , I had a presentation in art. , My teacher failed me although I did everything right. , He allowed me to repeat my presentation and failed me again. , I believed that I did the presentation correct and stood up for it. , The teacher agreed to discuss it with me. ,2
59,59,f935f831-38bc-4b00-83c6-3891a4dacefc , Leah had a hockey game. , All of her family came to cheer her on. , But when she got there she realized they were short handed. , Only a handful of girls showed up to play. , The game was canceled. ,1
60,60,345e1032-0c47-48e6-9968-e04baa479d06 , Ava started to notice wrinkles by her eyes. , She bought an expensive wrinkle cream. , She applied it every night. , After a month she checked her eyes out carefully. , She was happy to see her wrinkles were gone. ,2
61,61,6ab897f0-4f61-40f1-afa6-e9485e44316d , Jasper has been avoiding getting a real job for months. , He has hated all the previous office jobs that he had. , One day he sees a job opening at his local butcher. , He applies successfully for the job at the butcher. , Jasper enjoys cutting dead animals. ,1
62,62,ed448375-accb-4425-b7ed-e5af03f0d477 , Tom fond that he was no longer happy in his job. , Tom decided that it was time to find a new job. , Tom looked through the want ads and put in applications. , Tom went on job interviews and talked to a lot of people. , He finally received a job offer. ,2
63,63,f747b29b-73ff-43c8-b06d-62f56ac0f67c , Ashley got back her tax return. , So she decided to go to the mall. , Ashley and her roommate drove to the mall. , They went from store to store trying things on. , They bought lots of clothes. ,1
64,64,0aa4d795-2af4-489d-84d2-a3476cfc9019 , Harvey's roommates teased him about being so thin. , They were egotistical football players. ," They challenged Harvey to a ping pong game, expecting him to lose. ", But they did not know that Harvey was a nationally ranked player. , They all sat with their mouths open as Harvey beat them all. ,0
65,65,05f5c44c-6d88-4c50-8c88-d9ad55fbaa8c , Gina's phone died as they drove on the highway. ," She plugged it in the front seat, but she was in the backseat. ", She was bored without her phone so she tried to reach it. , She was on the end and it was too far. , She acted like a brat and threw a tantrum. ,2
66,66,9a37e0a5-a537-4af1-ab7d-c39c440ee8d6 , Alan got a gun for his 18th birthday. , His dad took him to the range to practice shooting. , Alan was a terrible shot! , But he persevered and practiced a lot. , He now loves to go hunting. ,0
67,67,66c79a45-25be-4066-9d36-016637bd57c5 , Kev's dad asked to take him hunting. , Kev said he'd consider it. , Then he decided he didn't like hunting. , He thought it was cruelty to animals. , Kev decided not to come hunting. ,3
68,68,d46e5bd9-8a43-4670-b8c7-fe56f59cceae , Lina wanted to fry donuts. , She got an application for the donut shop. ," To her delight, she had been hired! ", She started to go to work frying donuts. , Lina loved her new job. ,2
69,69,a7dcd6a0-c9a3-4aa0-b2ed-3e80a03b2dc7 , Frank filled up dozens of water balloons to throw at this sister. , Little did he know she was ready for him. ," When he started the attack, she pulled out a huge water gun. ", It was much more effective than his balloons. , Frank bought a water gun the next day. ,1
70,70,796ab4ea-12d3-489a-b7e8-fce2b430107c , John was excited to have a job interview. , He went to the interview very prepared and nicely dressed. , During the interview he was very talkative and likable. , The manager of the company was really impressed by John's comments. , The manager decided to offer John the job. ,0
71,71,09609ed5-1852-4e76-af8d-f08de3742d15 , Ben wanted a glass of orange juice. , There was none in the house. ," However, there was a bag of oranges. ", He halved a few of them and got out the juicer. , Ben made freshly squeezed orange juice from the oranges. ,2
72,72,fa694d55-2291-467e-837e-cee613230e8c , Reg was hoping for a snow day. , There was a bad storm overnight. , He got his wish and school was canceled! , He spent the whole day playing in the snow making snowmen. , Reg hoped he would get another snow day soon. ,1
73,73,fb9f8eff-5f05-4cd8-bb99-3ca886845607 , Tom and Cindy were eating marshmallows. , But Tom began to get tired of it. , Cindy suggested roasting the marshmallows. , And Tom agreed with her suggestion. , Tom enjoyed the roasted marshmallows. ,3
74,74,ba6d9c84-d0d1-4806-964d-2573c08e67c5 , Neil was visiting the city of Luxor. , He took a tour to learn about Egyptian history. , They learned a lot of facts. , Then they had a picnic lunch on the banks of the Nile. , Neil had an amazing educational and cultural experience. ,2
75,75,98826835-a7e8-4441-b37c-36f2179d7651 , John wasn't adventurous about trying new food. , His mom always made him try 2 bites of something new. ," If he didn't like it, he didn't have to eat any more. ", One day she gave him a slimy looking food called papaya. ," John ate, but told his mom that he never wanted to eat it again. ",2
76,76,60642271-04f8-4129-af92-c0c6bbb206e3 , Nina wanted to skateboard. , But she knew no other girls to teach her! , So she bought her own skateboard. ," She began to skate on her own, slowly. ", Over time she became really good. ,3
77,77,08e30459-3e8f-43f0-ac30-a4f367168e45 , Sal liked magic. , He always tried to pulled tricks for his family. , He tried to pull a rabbit out of his hat on day. , But the hat ripped and the rabbit fell through. , And thus Sal gave up on magic. ,1
78,78,59ff9775-7ab2-4aed-8a7c-1c07f9c54755 , Lisa wanted to make a cake. , First she had to decide what kind of cake she wanted to bake. , After she had to go buy the ingredients. , She decided to make a chocolate cake. , Lisa loved to bake. ,1
79,79,c4d8548b-b1a0-4d5c-8004-bbe77d21b4a4 , Javier always noticed the kids playing handball near his house. , He wanted to join them but he was intimidated. , One day he summoned the courage to play handball with them. , He found that they were actually very nice. , Javier began playing handball with them regularly. ,3
80,80,f3b25856-827a-42ba-8ca1-0426c1b01219 , Gordon bought his son a remote control car for Christmas. , But he realized that it needed AA batteries. , Gordon could not find any. ," So the next day, he went to the toy store where he bought the car. ", He bought a big package of AA batteries. ,1
81,81,31e7354c-de3a-433b-afcf-fa8885569007 , Mim was driving down the highway in a bad snow storm. ," There was so much snow, Mim pulled her car over. ", She noticed other people were doing the same. ," She got an emergency blanket from the backseat, and ate a snack. ", Eventually it stopped snowing. ,1
82,82,64abf5b2-354d-405a-a0c1-ba141fba015a ," Yesterday, my mother in law called, and wanted to go out to some store. "," She picked me up at 4:30, and we headed out. ", We went to one store after the other looking for good deals. , Absolutely none of the stores had anything good to buy. , We went home without buying anything. ,0
83,83,eb47c2c9-e8c7-4677-8c45-840deb78545c , Betsy ran everywhere she went. , She was running to school when it happened. , She tripped and flew several feet. , She broke her arm in several places. , Betsy had to be taken to the hospital to be fitted with a cast. ,2
84,84,8cc7c8cf-053b-48e2-8d4d-6f520490e9ac , Sarah was horrified of swings growing up. , She would cry every time she would go to the playground. , Last week she finally attempted to swing for the first time in Years. , She loved it so much that she swung for an hour. , Her fear melted away as she swung. ,1
85,85,393f121a-4cd6-4781-95a3-76f88137c1aa , The Malamute always sniffed at the slide during his walk. , His owner walked him up to the platform one day. , He was scared to slide down. , They continued to do this every day on their walk. , The Malamute eventually tried to slide down the slide. ,1
86,86,0fcbf8d2-a63f-4d37-b304-003c10570638 , Today was Tim's birthday party. ," Since he was sick, he couldn't go out. "," However, the family decided to come to his out. ", We brought him a cake and take-out food. , Tim was very happy to be remembered. ,1
87,87,9669f392-85d9-45e8-8dc5-2b3d93b897ac ," Frankie was in love with a distant, aloof man. ", The man she loved was not very nice to her. , He cheated on her with other people in town. , Frankie left him. , Frankie found another man. ,1
88,88,538e9d85-3ff1-483d-b8de-0c62348d225b , Nancy was sitting near the science building. , Ian tried to sneak close to her. , She didn't notice until she looked around. , Ian threw a pie directly in her face. , Nancy began to cry and felt humiliated. ,3
89,89,1295799e-8cd2-4da6-91cf-7515acbd14bf , George had an internship. , He really wanted to get a full time job with the company. , George worked hard and proved to be smart. , A position opened up that George wanted. , He eagerly applied for it and was ultimately hired. ,2
90,90,78a60b56-2e3a-4fd6-a74f-b5b86f400540 , Joe had an accountant. , He never paid attention to his accountant. , Until one day he realized he had no money. , Joe furiously stormed into the accountant's office. , Joe asked the accountant what happened. ,2
91,91,4a030972-fd37-43e8-b44f-6920cf9355b7 , Sven was very poor. , Sven's brother told him there was lots of money on the train. , So Sven and his brother started a gang. , They robbed the train! , Sven was caught and jailed shortly after. ,2
92,92,3b754b95-8b0a-4d6c-87f5-158d1de303d9 , John was diagnosed with bone cancer. , He was sad and felt defeated. ," But, he decided to enroll in chemotherapy and fight the disease. ", He struggled for two years to overcome cancer. , John eventually beat the cancer. ,2
93,93,98181079-1081-48ba-bb83-031bb0046b92 , I decided to rent a movie when friends came over last night. , After looking through selections we decided on horror. , We picked a great movie and sat down with popcorn. , It was really scarey! , I had a hard time falling asleep that night. ,1
94,94,c21420d2-5652-4f20-9e1a-9f86a551e4f2 , Sandy is Louie's mother. , Louie is a puppy. , A nice family adopted Sandy. , They decided to adopt Louie too. , The dogs seemed happy to stay together. ,0
95,95,3c771b38-ee3a-444c-9fc1-36748ff391bc , Lia was trying to lose weight. , She cut out junk food and fatty foods. , But she still struggled to lose weight. , Then she began running every day on her treadmill. , She started losing weight. ,1
96,96,86b42126-6fee-4bb2-94f0-5c8cecd375aa , Gina liked to volunteer at a homeless shelter. , She had spent Years going there for many hours a week. , The staff decided to do something to show their appreciation. , They chipped in and got Gina a gift. , Gina was so touched she cried when they gave it to her. ,2
97,97,ebd6c1df-2371-491f-b813-65451f92049f , Tom and Susan have been married for eight Year's. , For the last week Susan has been nauseated every morning. , This morning she took a pregnancy test which was positive. , Susan planned a fancy dinner with candles to tell Tom the good news. , Tom was happy to have a kid. ,1
98,98,f2bc4f2e-e7c2-4bea-8fa4-6dd9e0b37474 , Greg was playing ball by himself. , He was bored. , He wanted his friends. , His friends came over. , They played ball for the rest of the afternoon. ,1
99,99,1a61f7f6-0945-4905-aef9-adb2808c22a0 , Pamela purchased an antique urn at a garage sale. , She thinks it would look nice with the decor in her home. , When she got home she noticed that someone's ashes were in there. , Pamela returned the urn. , Pamela received a full refund and a free urn for her troubles. ,1
100,100,fe12762c-51e5-4bcc-8a08-667ce3304f69 , Jane was excited to go home early for once. , She worked cleaning offices at night. , She was ahead of her normal schedule. , When she got to the final office she noticed a huge mess. , Jane was disappointed she had to stay and clean the office. ,1
101,101,432c8932-ec99-42bc-82ba-87d4f10ef17f , Fred receives a specialty coffee maker for Christmas. , He finally opens it after leaving it in its box for a few weeks. , Fred decides to make himself a cappuccino. ," To his surprise, it tastes just as good as the ones he buys outside. ", Frank will save about $25 a week making coffee himself. ,1
102,102,64e261dc-6458-4a23-a62d-8e5b5793997f , My mom always told me to brush my teeth. , I didn't like to listen to my mom. , I chose not to brush my teeth. , i had to get them all pulled. , I should have listened to my mom. ,2
103,103,55a45ad5-0544-401d-b142-c3344975246e ," It was a very hot, dry summer. ", John's dad purchased a bird bath to help the animals survive. ," Within minutes of filling it, a cardinal hopped in. "," Throughout the day, John counted 34 birds that visited. ", John was happy the birds were enjoying the bird bath. ,1
104,104,befe024d-d480-42dd-9710-7eb1bdb7ff8a , The delivery man handed a package to me. , I opened the box. ," Since nothing was inside, I tried shouting at the delivery man. ", He couldn't hear me and drove off. , I had to call to find out what was going on. ,2
105,105,2fcb96c1-3717-46ed-aa94-165151fee791 , My family is sharing a bowl of popcorn. , Mom is reading a book and eating one piece at a time. , Dad and I are playing iPad games and eating handfuls at a time. , We have played this game before! , Dad and I love popcorn. ,1
106,106,aa94f624-fe3c-45c4-96b8-6cf486bd4302 , Lou was on a diet. , She was eating very little. , But she still struggled to lose weight! , Then she added an exercise regimen. , Lou was finally able to lose weight. ,2
107,107,ecd16644-592d-470b-bbb1-389e82c32493 , Gina's dad turned on the water hose for her. , He watched as she sprayed the soda spill on the porch. , It had been sitting there for hours. , It was a dried gooey mess by the time she began cleaning it. , Gina finally got it all cleaned after a couple of hours. ,1
108,108,6f96532b-9bc0-44d0-84fd-6bb7b99d69be , Betsy was about to celebrate her sixteenth birthday. , Her parents surprised her with a nice dinner out and a small present. ," Happily, her parents gave her a monogram necklace. "," On the way home, Betsy misplaced the necklace in the car. ", Betsy felt really bad for the rest of the night. ,1
109,109,da5ec41e-4fd5-4a1c-b2ad-67fd6c8b1165 , Joy's pastor asks her to sing at church. , Joy practiced for weeks. , Joy is very nervous about singing. , Tonight is the big night. ," When the time comes for her to sing, Joy faints. ",2
110,110,200f7c71-d985-46ca-ae40-4f2d1e34802e , Sara wanted to do something for her sister who has cancer. , The chemo caused her sister to loose all her hair. , Sara went to the hair salon and had her long hair cut short. , She then had the hair made into a wig. , She gave the wig to her sister. ,2
111,111,f1076e8c-eb8f-4b71-84b4-3c433b7235a7 , It was like any other Friday for Jay. , He had just finished work and bought his weekly lottery ticket. ," After dinner, he waited patiently for the lottery results. ", He couldn't believe it when more than half his numbers were called. ," Finally, all of his number were read and Jay had won. ",0
112,112,e8f3dea0-6304-43cd-9d76-5314cf2ab190 , Larry was excited to eat steak for dinner. , He made a reservation for 7. , He eagerly waited all day for the time to arrive. ," When he got there, the waiter told him they were out of steak. ", He had to have grilled chicken instead. ,1
113,113,8deede16-2f24-4579-970b-047ad9d23141 , James has just started working at a company with a ping pong table. , He has always wanted to play ping pong with a coworker. ," One day after work, his friend challenges him to a game. "," James plays very well, but eventually loses the game. "," So, James bought a ping pong table to practice at home. ",0
114,114,d16e2710-0a1c-4f4b-8be5-4bf9bd4dfa69 , Lester has always loved academic debate. , He decides to found a debate team at his college. ," He finds a professor to advise the team, and slowly recruits students. ", Soon the team is large enough to debate another school. , The other school wins by a huge margin over Lester's team. ,1
115,115,5cd09381-9d02-456a-bcd4-0d45f9ab0db3 , Jessica wanted a pony for her birthday more than anything. ," In the days coming up to it, she asked her dad for a pony. ", He said he would think about it. , He gave Jessica a pony shaped box on her special day. , Jessica was disappointed because she wanted a real pony. ,3
116,116,fe5a613d-b6ec-4f31-8d2d-007018b092ec , We got in the car to go to the zoo. , I couldn't wait to see the zebra. , We walked around and saw so many animals. , I got to see the zebra play. , I enjoyed visiting the zoo. ,2
117,117,fb466251-500e-428c-a120-a0c6887eb37f , Jennifer forgot to close the front door when she got home. , By the time she noticed her pet cat had disappeared. , She walked around the neighborhood calling for the cat. , She made flyers with her contact information. ," Jennifer's cat came home the next day, acting very hungry. ",1
118,118,23ab455c-ef3c-479f-90a5-4acd8e1ac3c9 , Dan loves the sport of bowling. , His dad taught him how to play when he was little. , The use to compete in tournaments together. , His dad has since passed away. , Dan now bowls often to remember his father. ,1
119,119,ea4c827b-b5f2-44df-8d39-7373cb35f1ae , Billy would wake up every morning and get ready for school. , First he would take a shower to start getting ready. , Next Billy would have to get dressed. , After he was fully clothed he would eat breakfast. , Billy was very methodical. ,1
