,emotion,plutchik,selection0,selection1,label
16,"['excited', 'fulfilled', 'decisive']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",She purchased them.,He hit the putt and sunk it!,0
17,"['scared', 'nervous', 'anxious', 'uncertain']","{'joy': 1, 'trust': 0, 'fear': 3, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",He started to feel sick to his stomach during his test.,He had a very hard time reaching out to his friends for help.,0
18,"['happy', 'elated']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",The clerk said yes and Missy was able to go.,The adults were playing music and dancing.,1
19,"['lonely', 'fear']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 2, 'disgust': 0, 'anger': 0, 'anticipation': 1}",She said to hurry up since the breakfast was getting cold.,She did not want to go alone.,1
20,"['happy', 'excited', 'exhilarated', 'joy']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Kris wasn't sure what her kids wanted for Christmas.,I caught the wave and felt on top of the world.,1
21,"['panicked', 'exasperated', 'sad', 'infuriated', 'ashamed', 'upset']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 0}",He answered but it was his boss who was yelling at him.,She wanted to learn how to swim.,0
22,"['worried', 'fear', 'sad']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",She piled all of her whites into the washer.,Billy's cat got stuck in a tree.,1
23,"['proud', 'relaxed']","{'joy': 2, 'trust': 3, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Olaf was satisfied with his work overall.,My wife and I moved to our new house two summers ago.,1
24,"['anxious', 'hopeful', 'inquisitive']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}","And eventually, he was able to fix his car battery problems for good.","I called up some friends, and see what they were doing.",1
25,"['anxious', 'affectionate', 'charitable']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",The employee at the store advised her to adopt instead of buy.,She had a lot of nice clothes that she didn't wear anymore.,1
26,"['nostalgic', 'happy', 'amused']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",My brother and I liked to pretend play when we were growing up.,They went to Los Angeles to compete.,0
27,['relaxed'],"{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Anna went for a walk.,She loves the letter W.,0
28,"['determined', 'hopeful', 'nervous', 'dedicated']","{'joy': 0, 'trust': 1, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Mary was getting married to Tom.,Jimmy practiced his script for months.,1
29,"['content', 'happy', 'friendly']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}","Growing up, he had sleepovers like many of his friends.","I met Eric in late 2004, again on the internet.",0
30,"['surprised', 'scared', 'annoyed']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}","Suddenly, a huge tuna swam under his legs and flipped him!",There were several rooms for rent and two apartments.,0
31,"['disappointed', 'annoyed', 'upset', 'depressed', 'indifferent', 'bossy', 'responsible']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 0, 'anger': 1, 'anticipation': 0}",Jorge sat on a bench in the park.,Miguel was not happy.,1
32,"['embarrassed', 'hopeless', 'positive', 'hurt', 'sad', 'distressed']","{'joy': 1, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 1, 'disgust': 1, 'anger': 0, 'anticipation': 0}",He then decided to stick with Joe.,"Eventually, she started to feel uncomfortable.",0
33,"['helpful', 'annoyed', 'guilty', 'relieved', 'rushed', 'happy']","{'joy': 2, 'trust': 2, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Ali sampled wine at each one.,"Since class started in 10 minutes, I allowed him to copy my work.",1
34,"['hopeful', 'nervous', 'anticipation', 'surprise']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",She urged Nita to try it - just one bite.,"Theo got where he was going fast, and he enjoyed the journey.",0
35,"['sad', 'sick']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 2, 'sadness': 3, 'disgust': 1, 'anger': 1, 'anticipation': 1}",His diagnosis was the stomach flu and no work for a week!,He ended up telling his parents and they had to sign his report card.,0
36,"['content', 'excited']","{'joy': 3, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",Kia took her kite to the park.,Mark now rides his skateboard with protection.,0
37,"['apologetic', 'disgusted']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 2, 'sadness': 1, 'disgust': 3, 'anger': 0, 'anticipation': 1}",Ann decided the best thing to do was confess the truth.,He didn't realize he used someone else's toothbrush.,1
38,"['happy', 'thankful', 'helped', 'pride', 'wise']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Chad was glad he choose to stay in a guest house.,Dan was glad his coach recommended jumping hurdles for him.,1
39,"['proud', 'competent', 'happy', 'intrigued', 'accomplished']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Mike has a tumor growing on his head and needs it removed.,Sue's photographs impressed many of her friends.,1
40,['irritated'],"{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 2, 'anger': 2, 'anticipation': 0}","One day, his singing was annoying his teacher.",Beth took one shot and killed the deer.,0
41,['lazy'],"{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 1, 'anger': 0, 'anticipation': 1}",Yesterday I watched a five minute workout on my tablet.,"Eventually, another friend showed up with a faster car.",0
42,"['useful', 'relieved', 'tired']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Tom and Robert called for a taxi to get back home.,He sat on a bucket and put his line in.,0
43,"['worried', 'concerned', 'scared', 'sick', 'sad', 'exhausted', 'tired']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 0, 'sadness': 2, 'disgust': 0, 'anger': 0, 'anticipation': 1}","The price was under $400, and Charles was awestruck.",Gina has to take her dog to the animal hospital.,1
44,"['happy', 'annoyed', 'aggravated']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 2, 'anger': 1, 'anticipation': 0}",Mark could hear the doorbell clearly in his apartment.,Alain reassured martha of his love for her and they were happy.,0
45,"['conflicted', 'hopeful', 'resigned']","{'joy': 0, 'trust': 1, 'fear': 1, 'surprise': 0, 'sadness': 2, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Abby would only eat the crust.,Ge decided to run in the next term as a Republican.,1
46,"['love', 'happy']","{'joy': 3, 'trust': 2, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Michael had always loved Julia.,He asked his neighbors if they knew the cat.,0
47,"['ashamed', 'vindicated', 'amused', 'satisfied', 'proud']","{'joy': 1, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 0, 'disgust': 1, 'anger': 1, 'anticipation': 0}","Butch grabbed the cat and shook it, and killed the cat.",Linet left the boy with a black eye and bruised leg.,1
48,"['scared', 'worried']","{'joy': 0, 'trust': 0, 'fear': 3, 'surprise': 0, 'sadness': 2, 'disgust': 0, 'anger': 0, 'anticipation': 3}",He went to the doctor and they ran some tests.,Will walked more and more each day for several months.,0
49,"['worried', 'disappointed', 'annoyed', 'frustrated']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 2, 'sadness': 2, 'disgust': 1, 'anger': 1, 'anticipation': 1}",The wind blew across his skin and he smiled.,"As it popped, smoke came out.",1
50,"['proud', 'beautiful']","{'joy': 3, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",He started wearing different colored contacts every day.,So her mother stopped that behavior.,0
51,['sad'],"{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 3, 'disgust': 0, 'anger': 0, 'anticipation': 0}",I sat down on the floor with the groceries and cried.,After the wine Maxine feels much better.,0
52,"['happiness', 'surprise', 'scared', 'nervous', 'sporty']","{'joy': 1, 'trust': 1, 'fear': 1, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Once in the neighbor's yard Johnny met their mean dog Sampson.,Tom wanted to speak to Santa.,0
53,"['nervous', 'apprehensive', 'anxious']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Yesterday Tina made a blueberry pie.,Diana approached the front of the stage.,1
54,"['relieved', 'constructive', 'productive']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",He was enjoying himself except his computer was so slow.,"After finding firewood, he returned home and lit it in the fireplace.",1
55,['excited'],"{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",He bought tickets for opening night.,He connected with the ball.,0
56,"['happy', 'industrious', 'determined', 'hopeful']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Roger was riding his bike to work like he usually does.,"A young lady was walking around campus, selling chocolate.",1
57,"['accomplished', 'determined']","{'joy': 2, 'trust': 2, 'fear': 1, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",She did her best to keep up with them in practice.,Her parents told her she was still too young to try.,0
58,"['nervous', 'anxious']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",I wanted to take a guy on a date.,Jim told Tim he didn't feel like it.,0
59,"['relief', 'upset', 'happy']","{'joy': 1, 'trust': 1, 'fear': 1, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 1}",There was nothing inside but Bill's clothes!,Maddie's dad rushed over with the hose to put the fire out.,0
60,"['nervous', 'helpful']","{'joy': 1, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",He tried giving it to her during lunch at school.,Tim decided to drink to loosen up more.,0
61,"['nervous', 'let down', 'disappointed']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 3, 'sadness': 2, 'disgust': 0, 'anger': 0, 'anticipation': 2}",So she decided to go.,Instead it was a letter from my bank.,1
62,"['sad', 'thankful']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 1, 'anticipation': 0}",His teacher allowed him to retake the test the next day.,The voice on the phone told Jim that the bread man was sick today.,0
63,"['accomplished', 'proud', 'determined', 'confident', 'surprised', 'jealous', 'impressed']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Together they rolled snow and added decorations.,I was showing my friends that I could do back flips.,1
64,"['expectant', 'motivated', 'excited', 'hopeful', 'determined']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Gina was sure they would each get hired.,"After all the hustle and bustle, they were relieved to take a break.",0
65,"['upset', 'disappointed', 'surprised', 'frustrated']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 2, 'sadness': 2, 'disgust': 2, 'anger': 2, 'anticipation': 0}",Carlos calmed down.,Until she discovered it didn't have microsoft windows installed.,1
66,"['excited', 'afraid', 'scared', 'nervous']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 2, 'sadness': 0, 'disgust': 2, 'anger': 1, 'anticipation': 3}","After leaving one bar, creepy men began to follow them.",Stacy lost 5 pounds in a week after giving up on drinking soda.,0
67,"['confident', 'accomplished', 'determined']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",I decided to get my doctorate degree.,Jessica got into trouble and her brother got back at her.,0
68,"['wishful', 'disappointed', 'different']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 1}","Lucy knew he wouldn't like her back, he was a 16 and she was 11.",He told her she looked just like their mother in it.,0
69,"['frustrated', 'upset', 'fun']","{'joy': 1, 'trust': 1, 'fear': 1, 'surprise': 2, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 2}",We told our son we were going to visit relatives.,No fish were biting.,1
70,"['hopeful', 'disappointed', 'nervous', 'worried', 'stressed', 'angry', 'annoyed']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 1, 'anger': 1, 'anticipation': 0}",Lisa was so excited because she was going to be the flower girl.,She pointed at the sign.,1
71,"['anticipation', 'happy']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",When she was done she tasted it.,I will keep posting it until it sells.,0
72,"['panicked', 'terrified', 'ashamed', 'guilty', 'regretful']","{'joy': 0, 'trust': 0, 'fear': 3, 'surprise': 2, 'sadness': 3, 'disgust': 2, 'anger': 2, 'anticipation': 1}","She married him, and he's a model husband and father.",The whole building was consumed.,1
73,"['beautiful', 'nervous', 'excited', 'determined']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",Grace wanted to look her very best on her wedding day.,Last weekend I grabbed my surfboard and went down to the beach.,0
74,"['apologetic', 'clumsy', 'fearful', 'annoyed', 'relieved']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 0}","When I tried to leave, a man told me to pay for it.",His dad told be to be more careful.,1
75,"['joyful', 'responsible', 'happy', 'exhausted', 'excited']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",The pain relieved a little bit.,The little girl went hiking in the mountains with her dad.,1
76,"['focused', 'nervous', 'satisfy', 'well-being']","{'joy': 0, 'trust': 2, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Jack was taking an important test.,She bribed her little brother with some candy.,0
77,"['horrified', 'clumsy', 'surprised', 'upset']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 3, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",She was carrying a tray of mixed paints when she tripped.,It felt better in about twenty minutes.,0
78,"['creative', 'determined', 'useful']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}","While sitting, he felt a tug on his pole and began reeling.",His dad had boxes full of unorganized photographs from his life.,1
79,"['inspired', 'good']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",I was running late to drop my daughter to school this morning.,He saw the man shadow boxing while running.,1
80,"['content', 'upset', 'irritated', 'hungry', 'competent']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 2, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 2}",He had to travel to several stores only to find out each was out.,It broke the boredom at her grandparents house.,0
81,"['enjoyment', 'happy', 'thrilled', 'impressed', 'satisfied', 'amused', 'joy']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",They enjoyed the elephants and the acrobats.,I did not respond.,0
82,"['thankful', 'appreciative', 'proud', 'happy']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",The machine started sounding an alarm.,He donated the funds to the school.,1
83,"['neutral', 'interested']","{'joy': 2, 'trust': 1, 'fear': 1, 'surprise': 1, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 2}",He had brought his metal detector.,It was too strong for her.,0
84,"['embarrassed', 'ashamed']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 2, 'sadness': 1, 'disgust': 2, 'anger': 1, 'anticipation': 1}",Mike immediately went home and changed his soiled diaper.,He had flown from California to our home in North Carolina.,0
85,"['hurt', 'guilty', 'embarrassed', 'shy']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 2, 'disgust': 1, 'anger': 1, 'anticipation': 0}",He stopped at Wendy's.,She looked at them with a grimace.,1
86,"['excited', 'joyous', 'interested', 'determined']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",I took my daughter to the emergency room because of stomach pain.,Soon they were learning about exposure and composition.,1
87,"['guilty', 'happy', 'disappointed']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 1, 'anger': 0, 'anticipation': 0}",Laura found junk food in his suitcase.,She was sad to see storm clouds rolling in.,0
88,"['excited', 'content']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Esther sat watching TV when the doorbell rang.,Benny told them to leave him alone with his fruit.,0
89,"['sad', 'dumbfounded']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 2, 'sadness': 3, 'disgust': 1, 'anger': 2, 'anticipation': 1}",Eddie had a group of friends.,Charles' relatives were homeless.,1
90,"['worried', 'sick', 'unwell']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 1, 'anger': 0, 'anticipation': 0}",My wife developed a cough this week.,I agonized over what sized u-haul to rent.,0
91,"['hopeful', 'concerned', 'anticipation']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Kelly was glad she had heeded her whim!,Liam needed a new computer.,1
92,"['frightened', 'caught', 'sad', 'satisfied', 'scary', 'amused', 'happy', 'silly', 'embarrassed', 'scared', 'joy', 'loved']","{'joy': 1, 'trust': 1, 'fear': 1, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",I attended a phone conference this morning.,"My husband laughed at my response, but she was scary.",1
93,"['embarrassed', 'sad', 'disappointed']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 2, 'disgust': 0, 'anger': 0, 'anticipation': 0}",She was broken and let us ride here.,She asked them to try it again but it wouldn't go through.,1
94,"['frustrated', 'difficult']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 2, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 1}",I had difficulty taking out the bread since it was stuck.,I had a bowl of cereal and watched cartoons.,0
95,"['upset', 'sad', 'betrayed', 'sympathin', 'annoyed']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 2, 'disgust': 1, 'anger': 1, 'anticipation': 0}","Gabriel was sad, and went to the teacher to complain.",But unfortunately it was too expensive.,0
96,['lazy'],"{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Cleo refused to brush his teeth at night.,Ted was happy that he no longer had to go the mechanic.,0
97,"['responsible', 'frustrated', 'in control']","{'joy': 0, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",She was put in a sanctuary and adopted by her rescuers.,Will decided to only have the smoothie a few times a week.,1
98,"['certain', 'smart']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Hank grilled the man a steak to prove his point.,Gina wasn't talking to Rita or Mary.,0
99,"['intrigued', 'amazed', 'helpful', 'interested']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",The budding scientists liked seeing the reaction.,She looked everywhere.,0
100,"['accomplished', 'competent', 'questioning']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",I wanted to play with my favorite ball at recess.,Ronnie replaced a ton of parts.,1
101,"['eager', 'anxious']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",She sat at her window and stared outside eagerly.,Amy saw that most of the kids barely looked at the doll.,0
102,"['satisfied', 'happy', 'relaxed']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",This morning I took a seat in my favorite chair.,She was happy and decides to do it for another month.,0
103,"['disappointed', 'upset', 'brave']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 1, 'anticipation': 1}",James was asked to fill in.,Tom was outclassed and easily beaten.,1
104,"['excited', 'curious', 'adventurous', 'eager']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",They gathered their clothes and shoes and went home.,Monica suggested they go see the Eiffel Tower.,1
105,"['terrible', 'depressed', 'sad', 'sadness', 'fear']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 0, 'sadness': 3, 'disgust': 1, 'anger': 1, 'anticipation': 1}",Krissy said yes and now they are planning their wedding.,The girl's dog had been hit by a car and was dead.,1
106,['eager'],"{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",It has since moved to the suburbs.,So she tried to live off of her leftovers but that didn't last long.,0
107,"['happy', 'worried']","{'joy': 1, 'trust': 1, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",She placed her new pet in an aquarium in her bedroom.,Tom's company got a new general manager.,1
