,sentence,joy,trust,fear,surprise,sadness,disgust,anger,anticipation
90,"They stayed in a resort, and their room had a backyard.",1,0,0,1,0,0,0,0
91,Jennifer woke up early one day and noticed cranes out back.,1,1,0,1,0,0,0,1
92,"Excited, she ran in to get bread.",1,1,0,1,0,0,0,1
93,Martha was very insecure with herself,0,0,1,0,1,0,0,1
94,She had a boyfriend named Alain,0,0,1,0,1,1,1,0
95,She would constantly accuse him of cheating,0,0,1,0,1,1,1,0
96,One day things got so bad and they got in a fight,1,1,0,0,0,0,0,0
97,Nora's female cat ran away from home.,1,0,1,1,1,0,0,1
98,Nora was devastated!,1,1,0,1,0,0,0,0
99,"Then a neighbor returned the cat, which had been in his yard.",1,1,0,1,0,0,0,0
100,"He warned Nora that he had a male cat, but Nora only smiled.",1,1,0,1,0,0,0,1
101,The dog wandered out on the street one day.,0,0,1,1,1,1,1,0
102,It was killed by a car.,1,0,0,0,1,0,0,1
103,She bought the same type of dog a year later.,0,0,1,0,0,0,0,1
104,"Monday is Barry's 45th birthday, two days away.",1,0,1,1,1,0,0,1
105,He is excited but secretly hoping there will not be a surprise party.,1,1,0,0,1,0,0,0
106,Barry's girlfriend decides this year she won't throw a party.,1,1,0,1,0,0,0,1
107,She remembered him talking about a saltwater guided fishing trip.,1,1,0,1,0,0,0,1
108,While on her way to school Mary's backpack broke.,0,0,0,1,0,1,1,0
109,Her books fell all over the sidewalk.,0,0,0,0,1,0,0,1
110,She decided to go to the mall the next day.,1,0,0,1,0,0,0,1
111,While searching for a new bag she found a very beautiful one.,1,1,0,0,0,0,0,1
112,Tony had just moved into a new home.,0,0,0,0,1,1,0,1
113,He had dozens of boxes to unpack.,1,1,0,1,0,0,0,1
114,He invited his friends over to help him.,1,1,0,1,0,0,0,1
115,The work was done quickly.,1,1,0,1,0,0,0,1
116,I had my first kiss when I was 15.,0,0,0,1,1,1,1,0
117,The boy told me I was a bad kisser.,0,0,1,1,1,1,1,0
118,I saw him again when I was older.,1,1,1,1,0,0,1,1
119,I decided to kiss him again.,1,1,0,1,0,0,0,1
120,Mary and Ted found out they were expecting a baby.,1,1,1,1,0,0,0,1
121,They decided to turn the spare bedroom into a nursery.,1,1,0,0,0,0,0,1
122,The couple went and bought new furnishings at a baby store.,1,1,0,1,0,0,0,1
123,They decorated and repainted the room a light green.,1,0,0,1,0,0,0,1
124,Julie took a large canvas tent out camping.,1,0,0,0,0,0,0,1
125,She loved the tent because it was so spacious.,1,0,0,1,1,1,1,0
126,After the first night it rained and the canvas tent started to leak.,0,0,0,0,1,1,1,0
127,She was miserable the whole time on this camping trip.,1,0,0,0,0,0,0,1
128,Tom was discussing music with his friends.,0,0,0,1,0,0,0,1
129,His friends asked Tom who his favorite musician was.,1,0,0,0,0,0,0,1
130,Tom said Jimi Hendrix was the best guitar player in history.,1,1,0,1,0,0,0,1
131,His friends listened to Jimi Hendrix.,1,1,0,0,0,0,0,1
132,She decided to make her own.,1,1,0,1,0,0,0,1
133,She gathered the materials and she found a tutorial.,1,1,0,0,0,0,0,1
134,She worked all night sewing her new hat.,1,1,0,1,0,0,0,0
135,Davis never liked the idea of fishing.,0,0,1,0,1,0,1,0
136,"However, in his town all young men are expected to fish.",0,0,0,0,1,0,1,0
137,Finally Davis goes fishing for sea bass.,1,1,0,1,0,0,0,0
138,He catches a mighty sea bass on his first try.,1,0,0,1,0,0,0,0
139,All of a sudden I noticed that I spilled some paint on the rug.,0,0,1,1,1,1,1,1
140,It was a big bright spot.,0,0,0,0,0,1,1,1
141,I tried everything to get it out.,1,0,1,0,1,1,1,1
142,Kate had gone swimming at the park.,1,0,1,1,1,0,1,0
143,She hadn't asked for permission from her mother.,0,0,1,1,1,0,1,0
144,Her mother found out and was very upset.,0,0,1,0,1,1,1,0
145,Kate was grounded for a week as a result.,1,0,0,1,1,1,1,0
146,Ned had signed up his son to play tee ball.,1,1,0,1,0,0,0,1
147,The director asked Ned to help coach the team.,1,1,0,1,0,0,0,1
148,Ned agreed to help coach the team.,1,1,0,1,0,0,0,1
149,"We settled on a date, time, and place.",1,1,0,1,0,0,0,1
150,"When I got there, Bobby surprised me.",1,1,0,1,0,0,0,1
151,It was a party with many of our friends for my upcoming birthday.,1,1,0,1,0,0,0,1
152,She took the job because of the prospect of heroism.,0,1,0,0,1,1,1,1
153,"In actuality, the job mostly involved sitting around for hours on end.",1,0,1,0,1,0,0,1
154,But the boredom was punctuated by small bursts of exciting fear.,1,1,0,0,0,0,0,1
155,Bill had just got a new job.,0,0,1,0,0,0,0,1
156,He was anxious about starting it.,1,0,0,1,0,0,0,1
157,"On his first day, he met a beautiful woman that he talked to.",1,1,0,0,0,0,0,0
158,She soon became his girlfriend.,1,1,0,1,0,0,0,1
159,One of my daughter's friends got married a few days ago.,0,0,1,1,1,1,1,0
160,One of her bridesmaids was depressed.,0,0,0,1,1,1,1,0
161,She had just broken up with her boyfriend.,0,0,0,0,1,1,1,0
162,She left his home and moved back in with her mom.,0,1,0,0,1,0,0,0
163,Roger was riding his bike to work like he usually does.,1,1,0,0,0,0,0,1
164,Roger used the bike path and followed all the traffic rules.,0,1,1,1,1,1,1,1
165,"A car veered close to Roger, the driver was unaware on his phone.",1,1,1,1,1,1,1,1
166,The car turned and struck Roger on his bike!,1,1,1,1,1,1,1,1
167,Teddy had a passion.,1,1,0,0,0,0,0,1
168,He had a passion to change his country for better.,1,1,0,0,0,0,0,1
169,So he ran for president.,1,1,0,1,0,0,0,1
170,Teddy told the american people what they wanted to hear.,1,1,0,1,0,0,0,1
171,Maria saw an elderly man with a cane struggling with a bag of garbage.,0,1,0,0,1,0,1,0
172,He was walking it to the apartment complex's garbage dumpster.,1,1,1,1,1,1,1,0
173,"Maria hated the idea of a bag of trash in her car, but she felt moved.",1,1,0,0,1,0,0,0
174,"Passing by the Ferris Wheel, they got in line to ride.",1,0,0,0,0,0,0,1
175,Their turn finally came.,1,1,0,0,0,0,0,1
176,They gave the attendant their tickets and climbed in their car.,1,0,0,0,0,0,0,1
177,Auri was his best friend since he was very young.,0,0,1,0,1,0,0,0
178,She had a heart condition that made it hard for her to play roughly.,0,1,1,0,1,0,0,1
179,Oliver was very careful with her as he grew up.,1,1,1,1,1,0,0,0
180,Jack has lost his cellphone.,0,0,1,0,1,0,1,0
181,He has searched the entire house multiple times.,0,0,1,1,1,1,1,1
182,Jack was beginning to worry that he might never find it.,1,1,1,1,0,0,1,1
183,He pulled his phone out of his pocket to call the phone to find it.,1,1,0,1,1,1,1,0
184,The server gave me my food.,1,0,0,0,0,0,0,1
185,I immediately took a bite out of it.,0,0,1,1,0,1,1,0
186,"A few seconds later, I threw up on the table.",0,0,0,1,0,1,1,0
187,"When I looked into the food, I found out that it was raw.",1,0,0,1,0,1,0,0
188,Beth is baking cookies for her daughter's party.,1,1,0,0,0,0,0,1
189,She starts with putting the dough on the pan.,1,0,0,1,0,0,0,1
190,Then she adds the chocolate chips.,1,1,0,0,0,0,0,1
191,She then puts the cookies in the oven.,1,0,0,0,1,1,1,0
192,My son loves bedtime stories.,1,0,0,1,0,0,0,1
193,My mother bought my son 20 books.,1,1,0,0,0,0,0,1
194,My son wanted all 20 books read to him.,1,1,0,0,0,0,0,1
195,I diligently read all 20 books to my child.,1,1,0,0,0,0,0,0
196,Johnny loved his red and blue ball.,1,1,0,0,0,0,0,1
197,He'd spend hours kicking it around his yard.,0,0,1,1,1,1,0,1
198,One day he accidentally kicked it into his new neighbor's yard.,0,0,1,0,1,0,0,1
199,Their house was empty so he hopped the fence to retrieve the ball.,1,1,1,1,0,0,0,1
200,Timothy caught a bass.,1,1,0,1,0,0,0,1
201,His dad was proud of him.,1,0,0,0,0,0,0,1
202,Timothy was proud too.,1,1,0,0,0,0,0,0
203,Several people were walking around the mall.,0,0,1,1,1,1,1,1
204,A 12 year old kid was walking around with a butcher knife.,0,0,1,1,0,0,0,0
205,Several people noticed and decided to run away.,0,0,1,1,0,1,1,1
206,"In addition, the security guards noticed the kid.",1,1,1,1,0,1,1,1
207,I really wanted cable television.,0,0,0,0,1,0,1,0
208,"However, I was not able to afford it.",0,0,0,0,1,0,0,1
209,I asked my friends for advice.,1,1,0,1,0,0,0,1
210,They came up with the perfect solution.,1,1,0,0,0,0,0,0
211,Gordo hates the idea of having to give a presentation.,1,0,1,0,1,0,0,1
212,Gordo begins drinking due to stress.,0,0,1,0,1,1,0,0
213,Gordo loses self confidence.,0,0,1,0,0,0,0,1
214,Gordo calls in sick to avoid giving a presentation.,0,0,1,0,1,1,1,0
215,There was a man who scavenged the streets in search for lost change.,1,0,0,1,0,0,0,0
216,He came across a rare quarter that was worth 50 cents.,1,1,0,1,0,0,0,1
217,He made a note of this gain for tax purposes later on in the year.,1,0,0,1,0,0,0,0
218,This quarter made the 50th dollar he found that year.,1,0,0,0,0,0,0,1
219,Ashlynn Loved Facebook.,1,0,0,0,0,0,0,1
220,She had many different friends she chatted with daily.,1,0,0,0,0,0,1,0
221,"Her friend, Lori, made a negative comment about Donald Trump.",0,0,1,1,1,1,1,0
222,Ashlynn and Lori got into a flame war.,0,0,0,1,0,1,1,0
223,My friend Gary claimed the pond had big carp.,0,0,0,1,1,0,1,0
224,"He tried to catch one, without success.",1,1,0,0,0,0,0,1
225,There was a snake in the grass.,0,0,1,1,1,0,0,0
226,Todd passed over the snake.,0,0,0,0,0,1,0,0
227,Tom was having a great day.,1,1,0,1,0,0,0,1
228,He was out to lunch at his favorite mexican spot.,1,0,0,0,0,0,0,1
229,He ordered 5 tacos and a burrito.,0,0,0,0,1,1,0,1
230,After lunch on the way home tom felt a tremble.,0,0,1,1,0,1,0,1
231,Liz loved mashed potatoes.,1,0,0,0,0,0,0,1
232,She decided to make some.,0,0,0,0,1,1,0,0
233,"As she was mixing in the milk, she poured too much.",0,0,0,0,1,0,1,0
234,She was not able to scoop it out.,0,0,0,0,1,1,1,0
235,Late last night I woke up when I heard a noise.,0,0,1,0,0,0,0,1
236,It was very dark and scary in my room.,1,0,1,1,0,0,0,1
237,I checked in my closet.,1,0,1,1,0,0,0,1
238,When I looked in there I got very spooked.,1,0,0,1,0,0,0,0
239,Tom had an old laptop.,0,0,0,0,1,0,0,0
240,He didn't want to replace it.,1,0,1,1,1,1,1,1
241,After a while it kept breaking too much.,1,0,1,1,1,0,1,1
242,He couldn't keep fixing it.,1,0,0,0,0,0,0,1
243,"When she arrived, Samantha had her notes out and was ready to learn.",1,1,0,0,0,0,0,1
244,"Mary came prepared, and taught Samantha the lesson.",1,1,0,1,0,0,0,1
245,Mary also helped prepare Samantha for her upcoming test.,1,1,0,1,0,0,0,1
246,I started to feel gross.,1,0,0,0,1,1,0,1
247,I just wanted to stop working and go home.,1,0,0,0,0,0,0,1
248,"When I got there, I took a shower.",1,1,0,0,0,0,0,1
249,I used my favorite scented shampoo.,1,1,0,0,0,0,0,0
250,I was asked to leave.,1,0,1,1,0,1,1,1
251,There was a security guard talking to me.,0,0,1,1,1,1,1,0
252,I was in a Wal-mart parking lot.,0,0,1,1,1,1,1,1
253,My friend was with me.,1,1,0,1,0,0,0,1
254,So she decided to go.,1,1,0,0,0,0,0,0
255,She went for a long time.,1,1,0,1,0,0,0,0
256,Thankfully she enjoyed it.,1,1,0,0,0,0,0,1
257,Tim went surfing.,1,1,1,1,1,1,1,1
258,He felt something brush his leg.,0,0,1,1,0,0,0,0
259,He thought it was a shark.,0,0,1,1,1,0,0,1
260,He swam to shore.,0,0,1,1,0,0,0,1
261,Tom needed to get rid of some mice.,1,0,0,0,1,0,0,0
262,He did not want to use poison or traps.,1,1,0,0,0,0,0,1
263,He asked his friend what he should do.,1,1,0,1,0,0,0,1
264,His friend suggested he try adopting a cat or two.,1,1,0,0,0,0,0,0
265,Andy was craving some cereal.,1,1,1,1,1,1,1,1
266,He picked out some honey oats from his pantry.,1,1,0,0,0,0,0,0
267,Andy went to the fridge to get some milk.,0,0,1,1,1,1,1,1
268,Andy smelled the milk and noticed it was spoiled.,0,0,0,1,1,1,1,1
269,He saw an old farmhouse and decided to explore it.,0,0,1,0,0,0,0,1
270,He went inside the front door and it was so dark.,1,1,0,1,0,0,1,1
271,He tripped over some plaster on the floor and fell down.,0,0,0,1,1,0,1,0
272,He wanted to sell lemonade.,1,1,0,0,0,0,0,1
273,She wanted to help him.,1,1,0,0,0,0,0,1
274,She bought a stand on Amazon for $99.,1,0,0,1,0,0,0,1
275,Kay was new to using coupons when shopping.,0,0,0,0,1,1,1,0
276,At checkout she was tired so she went quickly.,0,0,0,1,1,1,1,0
277,When she got to her car she realized she forgot to use her coupons.,0,0,0,1,1,1,1,0
278,Tom loved to drunk alcohol.,1,0,0,0,1,1,0,1
279,He also loved to drink and drive.,1,1,0,0,0,0,0,1
280,Tom decided to get more careless one day.,0,0,1,1,1,1,1,1
281,Tom drive straight into a tree.,1,1,1,1,1,1,1,1
282,Jack was taking an important test.,0,0,1,0,1,0,0,1
283,He was really scared he was going to do bad.,0,0,1,1,1,1,0,1
284,He had a bad feeling about his answers.,0,0,1,0,0,0,0,1
285,The next day the scores were handed out.,1,0,0,1,0,0,0,0
286,Sarah walked a mile to get to Chick-Fil-A.,1,0,0,0,1,1,1,1
287,It was exceptionally hot outside.,1,0,0,0,1,1,0,0
288,She was so sick from the heat when she got there.,0,0,1,0,1,1,0,0
289,She felt too sick to eat!,0,0,0,0,1,1,1,0
290,Everyday Biscuit hopped at the glass hoping to be chosen.,0,0,0,0,1,1,0,0
291,A little girl walked through the shelter.,1,1,0,0,0,0,0,1
292,The little girl pointed at Biscuit!,1,1,0,0,0,0,0,1
293,I gathered my resourced and headed out.,0,0,0,0,0,1,1,1
294,Including waiting for the bus it took me forty five minutes to arrive.,1,0,0,0,0,1,1,0
295,I went to get the water hose.,0,0,0,0,1,1,1,0
296,I realized the dog had chewed through the hose.,0,0,0,1,0,1,1,0
297,I went to buy a new one.,1,0,0,1,1,1,1,0
298,Jennifer is addicted to social media on her cell phone.,1,1,1,1,1,1,0,1
299,She is on it during class instead of paying attention.,0,0,1,1,1,1,0,1
300,Her grades have been steadily declining as a result.,1,0,0,1,1,0,1,1
301,Her parents took her phone away from her until she gets her grades up.,1,1,0,1,1,0,0,1
302,The owner was old and tired and had put the shop up to sell.,1,0,0,0,0,0,0,1
303,A prospective buyer came and made the owner an offer.,0,0,0,0,1,0,0,0
304,After mulling it over the owner decided not to sell.,1,1,0,1,1,0,1,0
305,Millie waited to hear the sound of the ice cream truck driving by.,1,1,0,0,0,0,0,1
306,It was the first day of summer and she was hungry for ice cream!,1,0,0,0,1,0,0,0
307,But at lunch there was no ice cream man.,1,1,1,1,1,1,1,1
308,"He didn't come after dinner, either.",1,1,0,1,0,0,0,1
309,The weather was ugly skies were cloudy.,0,0,0,1,0,0,0,0
310,I was very skeptical of why it was not any fluffy clouds out.,1,0,1,1,0,0,0,0
311,That's when I noticed a light coming down just before dawn.,1,0,1,1,0,0,0,1
312,Jerry had no money and was living with his parents.,0,0,0,0,1,0,0,1
313,"One day, Jerry decided that he would make something of himself.",1,0,0,0,0,0,0,1
314,He decided to make five-thousand dollars from Amazon Mechanical Turk.,1,1,0,1,0,0,0,1
315,"Then, he used that money to start a data consulting business.",1,1,0,1,0,0,0,1
316,Jordan will be moving into her college dorm tomorrow.,1,1,1,1,0,0,0,1
317,She spent most of today packing her things.,1,1,0,0,0,0,0,1
318,Her mom took her to Target to buy new bed sheets.,1,1,0,0,0,0,0,1
319,Jordan is excited to set up her dorm.,1,1,0,1,0,0,0,1
320,Bob is the owner of a business.,0,0,1,0,1,0,0,1
321,Bob decides not to go to work one day.,1,0,1,1,0,0,0,1
322,Bob quits and sells his business.,0,0,1,0,1,1,0,0
323,Gina wasn't talking to Rita or Mary.,0,0,0,0,1,0,1,0
324,She wanted to sit at a different table than them.,0,0,0,0,0,1,1,0
325,But Tami wanted to sit at her normal table.,1,0,0,0,0,0,0,1
326,Dwayne became a mailman.,0,0,1,1,1,0,0,0
327,His first day on the route he ran into a dog.,1,0,1,1,0,0,0,0
328,The dog chased him for two blocks.,1,0,1,1,1,0,0,0
329,Dwayne was freaked out but relieved.,0,0,1,0,0,0,0,1
330,Jerry felt his left foot turning numb.,0,0,1,1,1,1,1,0
331,He was hiking in the wilderness in the middle of winter.,0,0,1,1,1,1,1,0
332,His left boot was leaking water.,1,1,0,0,0,0,0,0
333,He quickly tapped his boot with duct tape.,1,0,0,0,0,0,0,0
334,Lea was excited to go to her first football party today at Joe's.,1,1,0,0,0,0,0,1
335,Joe laid out many snacks and had his nice TV out for everyone.,1,1,0,0,0,0,0,1
336,Lea sat on the couch and ate lots of potato chips while watching.,1,1,0,1,0,0,0,1
337,"To Lea's delight, her team was winning the game.",1,0,0,1,0,0,0,1
338,Kim ran to the store on her break at work.,1,0,0,0,0,0,0,1
339,It was a warm day and she was wearing flip flops.,0,0,0,1,1,1,1,0
340,As she arrived at the store it began to rain hard.,0,0,0,1,0,1,1,0
341,She ran through the parking lot to get out of the rain.,0,0,0,1,0,0,0,0
342,They had just finished and were relaxing at a viewpoint.,1,0,0,0,0,0,0,1
343,Lauren decided to hike on ahead of her family.,1,1,0,1,0,0,0,1
344,She made it back to the car far ahead of them.,0,0,0,0,0,1,1,1
345,My Dad and I went to an amusement park.,1,1,0,1,0,0,0,1
346,We rode all the roller coasters.,1,1,1,1,0,0,0,1
347,It went upside down and our feet dangled out the bottom.,1,0,1,1,0,0,0,0
348,Stewart has always been a big gamer since the age of 5.,1,0,0,1,0,0,0,1
349,One day while at the mall he saw a sign for a video game tournament.,1,1,0,1,0,0,0,1
350,He promptly signed up for the tournament.,1,0,1,1,0,0,0,0
351,The following week he ended up winning the tournament.,1,1,0,1,0,0,1,1
352,"Bill, while taking a walk, came to a wide street.",0,0,1,1,0,0,0,1
353,"As he began to cross the street, he heard a siren coming closer.",0,0,1,1,0,0,0,1
354,"He decided to get back on the curb, and a car whizzed by.",0,0,1,1,0,0,1,1
355,The car was closely followed by a police car blasting its siren.,0,0,1,1,1,0,1,0
356,Kelly was getting mad at Eliza because she thought she was annoying.,0,0,1,1,1,1,1,0
357,Kelly thought she was being a bad friend.,0,0,0,1,1,1,1,0
358,Eliza was mad that Kelly said that.,0,0,1,1,1,1,1,1
359,"As a result, Eliza decided to not speak to her.",0,0,0,0,0,1,1,0
360,My wife and daughter went shopping in Queens.,1,0,0,0,0,0,0,0
361,One store had sandals my wife liked.,0,0,0,0,1,1,1,0
362,They were scuffed.,1,0,0,1,0,0,0,1
363,The store offered to ship her a new pair from a warehouse.,1,1,0,1,0,0,0,1
364,The community pooled their money together to rebuild the homes.,1,1,0,1,0,0,0,0
365,They only had 5 days.,0,0,1,0,0,0,0,1
366,They knew it would be faster to fly.,1,1,1,1,0,0,0,1
367,But driving would give them a chance to see the country.,1,1,0,1,0,0,0,1
368,Tom wanted to see the country.,1,1,0,0,0,0,0,1
369,Tom decided to take a road trip.,1,1,0,0,0,0,0,1
370,Tom packed his bags.,1,1,0,0,0,0,0,1
371,Tom rented a vehicle.,1,1,0,1,0,0,0,1
372,Theo always wanted to be like his father.,1,1,0,0,0,0,0,1
373,Theo's father was in the army.,1,1,0,0,0,0,0,1
374,Theo had plans of enlisting.,1,1,0,1,0,0,0,1
375,He was able to sign up without hassle.,1,1,0,0,0,0,0,0
376,Billy didn't like that she wasn't getting many likes on Facebook.,1,1,0,0,0,0,0,1
377,Billy started posting list articles with broad appeal.,1,1,0,1,0,0,0,1
378,Suddenly she was getting a lot of likes on her posts.,0,0,0,1,1,0,0,1
379,Billy decided that the likes were not for her but for the articles.,1,0,0,1,0,1,0,1
380,Eli was bored so he went to read the forum.,1,0,0,0,0,1,0,0
381,The conversation was on trivial fluff that served no purpose.,0,0,0,1,0,1,0,0
382,Eli suddenly realized why the people were there.,1,1,0,1,0,0,0,0
383,They'd been kicked out of everywhere else.,0,0,0,1,1,1,1,0
384,On a way home she met a friend.,1,1,0,0,0,0,0,0
385,They talked for a long time.,0,0,0,1,1,1,1,0
386,Lucy's food melted.,0,0,1,0,1,0,0,0
387,Ace had a passion for Animals.,1,1,0,0,1,0,0,1
388,He was what you call an animal whisperer.,0,1,1,0,1,0,0,1
389,One day an older lady had trouble with her cat.,0,0,1,1,1,0,0,1
390,Her cat was stuck in a tree and wouldn't come down.,1,1,0,1,0,0,0,1
391,Corinne was deathly afraid of going on stage.,1,0,1,0,1,0,0,1
392,She watched the first act while trying to calm herself.,0,0,1,0,0,0,0,1
393,"When act two arrived, a teacher backstage got her ready to walk out.",0,0,1,0,1,0,0,1
394,Corinne walked out very slowly repeating her single line to herself.,0,0,1,0,1,1,0,0
395,He had to move away.,0,0,1,0,1,1,1,0
396,Tom was really sad about it.,1,1,0,0,1,0,0,0
397,Tom's friend stayed in touch online.,1,1,0,0,0,0,0,0
398,Phil put a tape recorder in his shirt pocket all day.,1,0,1,1,0,0,0,1
399,He tried to put on a play using the transcription as the script.,1,0,0,1,0,0,0,1
400,The show was a hit in the art world.,1,0,0,0,0,0,0,0
401,"Lee and her mom went to the mall, but Lee got lost!",1,0,1,1,1,1,0,1
402,She wandered around sadly looking for her mom.,1,1,1,0,0,0,0,0
403,Then a security guard found her and took her aside.,1,0,1,0,1,0,0,1
404,They paged her mom on the intercom.,1,1,1,0,0,0,0,0
405,I wanted to get into bird watching as a hobby.,1,1,0,0,0,0,0,1
406,I bought a bird checklist book.,1,0,0,0,0,0,0,1
